,Article,Link
247,Making machine learning more useful to high-stakes decision makers,https://news.mit.edu/2021/machine-learning-high-stakes-1028
248,"One autonomous taxi, please",https://news.mit.edu/2021/autonomous-taxi-roboats-1027
249,Artificial intelligence sheds light on how the brain processes language,https://news.mit.edu/2021/artificial-intelligence-brain-language-1025
250,Saving seaweed with machine learning,https://news.mit.edu/2021/saving-seaweed-machine-learning-1022
251,"At Mass STEM Week kickoff, MIT RAISE announces Day of AI",https://news.mit.edu/2021/mass-stem-week-kickoff-mit-raise-announces-day-ai-1020
252,One giant leap for the mini cheetah,https://news.mit.edu/2021/one-giant-leap-mini-cheetah-1020
253,Cynthia Breazeal named senior associate dean for open learning,https://news.mit.edu/2021/cynthia-breazeal-named-senior-associate-dean-open-learning-1018
254,Artificial networks learn to smell like the brain,https://news.mit.edu/2021/artificial-networks-learn-smell-like-the-brain-1018
255,Putting artificial intelligence at the heart of health care — with help from MIT ,https://news.mit.edu/2021/putting-artificial-intelligence-heart-health-care-demilade-adedinsewo-1015
256,"At the crossroads of language, technology, and empathy",https://news.mit.edu/2021/rujul-gandhi-student-1013
257,Deep learning helps predict traffic crashes before they happen,https://news.mit.edu/2021/deep-learning-helps-predict-traffic-crashes-1012
258,Enabling AI-driven health advances without sacrificing patient privacy,https://news.mit.edu/2021/secure-ai-labs-health-care-1007
259,3 Questions: Kalyan Veeramachaneni on hurdles preventing fully automated machine learning,https://news.mit.edu/2021/automated-machine-learning-veeramachaneni-1006
260,"Artificial intelligence is smart, but does it play well with others?",https://news.mit.edu/2021/does-artificial-intelligence-play-well-others-1004
261,Making roadway spending more sustainable ,https://news.mit.edu/2021/making-roadway-spending-more-sustainable-0928
262,Using AI and old reports to understand new medical images,https://news.mit.edu/2021/using-ai-and-old-reports-understand-new-medical-images-0927
263,Deep learning helps predict new drug combinations to fight Covid-19,https://news.mit.edu/2021/deep-learning-helps-predict-new-drug-combinations-fight-covid-19-0924
264,Toward a smarter electronic health record,https://news.mit.edu/2021/medknowts-electronic-health-record-0923
265,Making self-driving cars safer through keener robot perception,https://news.mit.edu/2021/heng-yang-self-driving-cars-0916
266,Q&A: Dina Katabi on a “smart” home with actual intelligence,https://news.mit.edu/2021/qa-dina-katabi-smart-home-actual-intelligence-0907
267,Using adversarial attacks to refine molecular energy predictions,https://news.mit.edu/2021/using-adversarial-attacks-refine-molecular-energy-predictions-0901
268,360-degree transparency for construction sites made simple,https://news.mit.edu/2021/360-degree-transparency-construction-sites-made-simple-0831
269,Jordan Harrod: Brain researcher and AI-focused YouTuber,https://news.mit.edu/2021/jordan-harrod-brain-ai-0829
270,Smart laser cutter system detects different materials,https://news.mit.edu/2021/smart-laser-cutter-system-detects-different-materials-0819
271,“AI for Impact” lives up to its name,https://news.mit.edu/2021/ai-impact-lives-its-name-0816
272,Machine learning discovers new sequences to boost drug delivery ,https://news.mit.edu/2021/machine-learning-discovers-sequences-boost-drug-delivery-0810
273,System trains drones to fly around obstacles at high speeds,https://news.mit.edu/2021/drones-speed-route-system-0810
274,"Exact symbolic artificial intelligence for faster, better assessment of AI fairness",https://news.mit.edu/2021/exact-symbolic-artificial-intelligence-faster-better-assessment-ai-fairness-0809
275,3 Questions: David Kaiser and Julie Shah on social and ethical responsibilities of computing,https://news.mit.edu/2021/3-questions-david-kaiser-julie-shah-social-ethical-responsibilities-computing-0803
276,Lincoln Laboratory convenes top network scientists for Graph Exploitation Symposium,https://news.mit.edu/2021/lincoln-laboratory-convenes-top-network-scientists-graph-exploitation-symposium-0721
277,MIT Schwarzman College of Computing awards named professorships to two faculty members,https://news.mit.edu/2021/mit-schwarzman-college-computing-awards-named-professorships-0716
278,Software to accelerate R&D,https://news.mit.edu/2021/uncountable-rd-0713
279,US Air Force pilots get an artificial intelligence assist with scheduling aircrews,https://news.mit.edu/2021/us-air-force-pilots-artificial-intelligence-assist-scheduling-aircrews-0708
280,Infrared cameras and artificial intelligence provide insight into boiling,https://news.mit.edu/2021/infrared-cameras-artificial-intelligence-provide-insight-into-boiling-0707
281,Designing exploratory robots that collect data for marine scientists,https://news.mit.edu/2021/victoria-preston-exploratory-robots-0707
282,Four MIT faculty members receive 2021 US Department of Energy early career awards,https://news.mit.edu/2021/four-mit-faculty-members-receive-us-department-energy-early-career-awards-0624
283,Tackling air pollution with autonomous drones,https://news.mit.edu/2021/tackling-air-pollution-with-autonomous-drones-0624
284,Four researchers earn interdisciplinary Schmidt Science Fellowships,https://news.mit.edu/2021/four-researchers-earn-schmidt-science-fellowships-0623
285,Finding the love hormone in a stressed-out world ,https://news.mit.edu/2021/finding-love-hormone-stressed-out-world-0622
286,A unique collaboration with US Special Operations Command,https://news.mit.edu/2021/unique-collaboration-us-special-operations-command-0622
287,The new wave of robotic automation,https://news.mit.edu/2021/new-wave-robotic-automation-0616
288,Speeding up clinical trials by making drug production local,https://news.mit.edu/2021/snapdragon-drug-chemistry-0611
289,Training robots to manipulate soft and deformable objects ,https://news.mit.edu/2021/training-robots-manipulate-soft-deformable-objects-0609
290,Using computational tools for molecule discovery,https://news.mit.edu/2021/using-computational-tools-molecule-discovery-connor-coley-0608
291,Unleashing capacity at Heineken México with systems thinking from MIT,https://news.mit.edu/2021/unleashing-capacity-heineken-mexico-with-systems-thinking-from-mit-0607
292,On a quest through uncharted territory,https://news.mit.edu/2021/ankur-moitra-0606
293,Exploring the future of humanitarian technology,https://news.mit.edu/2021/exploring-future-humanitarian-technology-0603
294,Engineers create a programmable fiber,https://news.mit.edu/2021/programmable-fiber-0603
295,Accelerating AI at the speed of light,https://news.mit.edu/2021/lightelligence-accelerating-ai-speed-light-0602
296,The potential of artificial intelligence to bring equity in health care,https://news.mit.edu/2021/potential-artificial-intelligence-bring-equity-health-care-0601
297,Artificial intelligence system could help counter the spread of disinformation,https://news.mit.edu/2021/artificial-intelligence-system-could-help-counter-spread-disinformation-0527
298,"New algorithms show accuracy, reliability in gauging unconsciousness under general anesthesia",https://news.mit.edu/2021/new-algorithms-show-accuracy-reliability-gauging-unconsciousness-under-general-anesthesia-0526
299,There’s a symphony in the antibody protein the body makes to neutralize the coronavirus,https://news.mit.edu/2021/symphony-antibody-protein-body-makes-neutralize-coronavirus-0521
300,Jeremy Kepner named SIAM Fellow,https://news.mit.edu/2021/jeremy-kepner-named-siam-fellow-0521
301,Improving the way videos are organized,https://news.mit.edu/2021/netra-video-ai-0520
302,Behind Covid-19 vaccine development	,https://news.mit.edu/2021/behind-covid-19-vaccine-development-0518
303,Helping students of all ages flourish in the era of artificial intelligence,https://news.mit.edu/2021/raise-artificial-intelligence-0518
304,Using machine learning to predict high-impact research,https://news.mit.edu/2021/using-machine-learning-predict-high-impact-research-0517
305,Helping robots collaborate to get the job done,https://news.mit.edu/2021/robots-collaborate-search-0513
306,New system cleans messy data tables automatically,https://news.mit.edu/2021/system-cleans-messy-data-tables-automatically-0511
307,"Media Advisory — MIT researchers: AI policy needed to manage impacts, build more equitable systems",https://news.mit.edu/2021/media-advisory-mit-researchers-ai-policy-needed-manage-impacts-build-more-equitable-systems
308,Nano flashlight enables new applications of light,https://news.mit.edu/2021/nano-flashlight-enables-new-applications-light-0504
309,"Climate solutions depend on technology, policy, and businesses working together",https://news.mit.edu/2021/climate-solutions-depend-on-technology-policy-businesses-working-together-0504
310,Undergraduates explore practical applications of artificial intelligence,https://news.mit.edu/2021/undergraduates-explore-practical-applications-artificial-intelligence-0503
311,Q&A: Vivienne Sze on crossing the hardware-software divide for efficient artificial intelligence,https://news.mit.edu/2021/vivienne-sze-crossing-hardware-software-divide-efficient-ai-0428
312,Top collegiate inventors awarded 2021 Lemelson-MIT Student Prize,https://news.mit.edu/2021/collegiate-inventors-awarded-lemelson-mit-student-prize-0426
313,"Spencer Compton, Karna Morey, Tara Venkatadri, and Lily Zhang named 2021-22 Goldwater Scholars",https://news.mit.edu/2021/four-mit-undergraduates-named-goldwater-scholars-0422
314,New AI tool calculates materials’ stress and strain based on photos,https://news.mit.edu/2021/ai-materials-stress-strain-0422
315,"From diabetes to Covid-19, Better World (Health) showcases MIT research in action",https://news.mit.edu/2021/better-world-health-showcases-mit-research-0421
316,MIT launches new data privacy-focused initiative,https://news.mit.edu/2021/mit-launches-data-privacy-focused-initiative-fod-0420
317,Toward deep-learning models that can reason about code more like humans,https://news.mit.edu/2021/toward-deep-learning-models-that-can-reason-about-code-like-humans-0415
318,One-stop machine learning platform turns health care data into insights,https://news.mit.edu/2021/cardea-machine-learning-platform-health-care-data-insights-0409
319,An artificial intelligence tool that can help detect melanoma,https://news.mit.edu/2021/artificial-intelligence-tool-can-help-detect-melanoma-0402
320,A robot that senses hidden objects,https://news.mit.edu/2021/robot-senses-hidden-objects-0401
321,Big data dreams for tiny technologies,https://news.mit.edu/2021/big-data-dreams-tiny-technologies-0330
322,Homing in on longer-lasting perovskite solar cells,https://news.mit.edu/2021/prevoskite-lifetime-solar-0330
323,3 Questions: Artificial intelligence for health care equity,https://news.mit.edu/2021/3-questions-barzilay-christia-stultz-ai-health-care-equity-0323
324,More transparency and understanding into machine behaviors,https://news.mit.edu/2021/more-transparency-understanding-machine-behaviors-bayes-trex-0322
325,Researchers’ algorithm designs soft robots that sense,https://news.mit.edu/2021/sensor-soft-robots-placement-0322
326,System detects errors when medication is self-administered,https://news.mit.edu/2021/inhalers-insulin-errors-medication-0318
327,MIT.nano courses bring hands-on experimentation to virtual participants,https://news.mit.edu/2021/mitnano-courses-bring-hands-experimentation-virtual-participants-0317
328,Faster drug discovery through machine learning,https://news.mit.edu/2021/drug-discovery-binding-affinity-0315
329,Artificial intelligence that more closely mimics the mind,https://news.mit.edu/2021/nara-logics-ai-0312
330,Using artificial intelligence to generate 3D holograms in real-time,https://news.mit.edu/2021/3d-holograms-vr-0310
331,Algorithm helps artificial intelligence systems dodge “adversarial” inputs,https://news.mit.edu/2021/artificial-intelligence-adversarial-0308
332,Retrofitting MIT’s deep learning “boot camp” for the virtual world,https://news.mit.edu/2021/retrofitting-mit-deep-learning-boot-camp-virtual-world-0304
333,MIT Solve announces 2021 global challenges,https://news.mit.edu/2021/mit-solve-announces-2021-global-challenges-0302
334,Fostering ethical thinking in computing,https://news.mit.edu/2021/fostering-ethical-thinking-computing-0302
335,Driving on the cutting edge of autonomous vehicle tech,https://news.mit.edu/2021/driving-cutting-edge-autonomous-vehicle-tech-mit-driverless-0225
336,Toward a disease-sniffing device that rivals a dog’s nose,https://news.mit.edu/2021/disease-detection-device-dogs-0217
337,A language learning system that pays attention — more efficiently than ever before,https://news.mit.edu/2021/language-learning-efficiency-0210
338,Examining the world through signals and systems,https://news.mit.edu/2021/examining-world-through-signals-and-systems-cathy-wu-0205
339,Byte-sized learning,https://news.mit.edu/2021/byte-sized-learning-eecs-iap-0204
340,Machine-learning model helps determine protein structures,https://news.mit.edu/2021/machine-learning-model-helps-determine-protein-structures-0204
341,Robust artificial intelligence tools to predict future cancer ,https://news.mit.edu/2021/robust-artificial-intelligence-tools-predict-future-cancer-0128
342,“Liquid” machine-learning system adapts to changing conditions,https://news.mit.edu/2021/machine-learning-adapts-0128
343,Design progresses for MIT Schwarzman College of Computing building on Vassar Street,https://news.mit.edu/2021/design-progresses-mit-schwarzman-college-computing-building-vassar-street-0126
344,Learning with — and about — AI technology,https://news.mit.edu/2021/learning-and-about-ai-technology-0125
345,3 Questions: Thomas Malone and Daniela Rus on how AI will change work,https://news.mit.edu/2021/3-questions-thomas-malone-daniela-rus-how-work-will-change-ai-0121
346,Fengdi Guo awarded first place in LTTP Data Analysis Student Contest,https://news.mit.edu/2021/fengdi-guo-awarded-first-place-lttp-data-analysis-student-contest-0121
347,Designing customized “brains” for robots,https://news.mit.edu/2021/robot-customized-hardware-0121
348,Three MIT faculty elected 2020 ACM Fellows,https://news.mit.edu/2021/three-mit-faculty-elected-2020-acm-fellows-0120
349,An intro to the fast-paced world of artificial intelligence,https://news.mit.edu/2021/intro-fast-paced-world-artificial-intelligence-0119
350,James DiCarlo named director of the MIT Quest for Intelligence,https://news.mit.edu/2021/james-dicarlo-named-director-mit-quest-intelligence-0114
351,Model analyzes how viruses escape the immune system,https://news.mit.edu/2021/model-viruses-escape-immune-0114
352,MIT.nano’s Immersion Lab opens for researchers and students,https://news.mit.edu/2021/mitnano-immersion-lab-opens-0111
353,Want cheaper nuclear energy? Turn the design process into a game,https://news.mit.edu/2020/want-cheaper-nuclear-energy-turn-design-process-game-1217
354,Method finds hidden warning signals in measurements collected over time,https://news.mit.edu/2020/warning-time-measurements-ai-1217
355,Building machines that better understand human goals ,https://news.mit.edu/2020/building-machines-better-understand-human-goals-1214
356,Model could help determine quarantine measures needed to reduce Covid-19’s spread ,https://news.mit.edu/2020/model-quarantine-covid-spread-1214
357,Indigenous knowledge and technology at MIT: “Is it wise?”,https://news.mit.edu/2020/indigenous-knowledge-technology-mit-is-it-wise-1203
358,Neuroscientists find a way to make object-recognition models perform better,https://news.mit.edu/2020/object-recognition-v1-1203
359,Shrinking massive neural networks used to model language,https://news.mit.edu/2020/neural-model-language-1201
360,How humans use objects in novel ways to solve problems,https://news.mit.edu/2020/how-humans-use-objects-novel-ways-ssup-mit-1124
361,An antidote to “fast fashion”,https://news.mit.edu/2020/armoire-fashion-rental-1124
362,Lincoln Laboratory establishes Biotechnology and Human Systems Division ,https://news.mit.edu/2020/lincoln-laboratory-establishes-biotechnology-and-human-systems-division-1123
363,3Q: Christine Walley on the evolving perception of robots in the US,https://news.mit.edu/2020/3-questions-christine-walley-evolving-perception-robots-us-1123
364,Why we shouldn’t fear the future of work,https://news.mit.edu/2020/future-work-conference-1120
365,MIT forum examines the rise of automation in the workplace,https://news.mit.edu/2020/forum-automation-work-future-1120
366,A neural network learns when it should not be trusted,https://news.mit.edu/2020/neural-network-uncertainty-1120
367,Vibrations of coronavirus proteins may play a role in infection,https://news.mit.edu/2020/vibrations-coronavirus-proteins-1119
368,Phiala Shanahan receives Kenneth G. Wilson Award for work in lattice field theory,https://news.mit.edu/2020/phiala-shanahan-receives-kenneth-wilson-award-1118
369,Advancing artificial intelligence research,https://news.mit.edu/2020/advancing-artificial-intelligence-research-1118
370,"Report outlines route toward better jobs, wider prosperity",https://news.mit.edu/2020/work-of-future-final-report-1117
371,Understanding how people make sense of information in the information age,https://news.mit.edu/2020/understanding-how-people-make-sense-information-manon-revel-1116
372,System brings deep learning to “internet of things” devices,https://news.mit.edu/2020/iot-deep-learning-1113
373,Staying ahead of the artificial intelligence curve with help from MIT,https://news.mit.edu/2020/staying-ahead-ai-curve-renzo-zagni-1109
374,Algorithm reduces use of riskier antibiotics for UTIs,https://news.mit.edu/2020/algorithm-reduces-use-of-riskier-antibiotics-utis-1105
375,Using machine learning to track the pandemic’s impact on mental health,https://news.mit.edu/2020/covid-19-impact-mental-health-1105
376,Artificial intelligence model detects asymptomatic Covid-19 infections through cellphone-recorded coughs,https://news.mit.edu/2020/covid-19-cough-cellphone-detection-1029
377,Testing sewage to home in on Covid-19,https://news.mit.edu/2020/testing-sewage-for-covid-19-1028
378,AI Cures: data-driven clinical solutions for Covid-19 ,https://news.mit.edu/2020/ai-cures-data-driven-clinical-solutions-covid-19-1027
379,Stressed on the job? An AI teammate may know how to help,https://news.mit.edu/2020/stressed-job-ai-teammate-may-know-how-help-1026
380,“What to Expect When You’re Expecting Robots”,https://news.mit.edu/2020/expect-when-expecting-robots-1022
381,Bringing construction projects to the digital world,https://news.mit.edu/2020/openspace-construction-1021
382,Translating lost languages using machine learning,https://news.mit.edu/2020/translating-lost-languages-using-machine-learning-1021
383,Neural pathway crucial to successful rapid object recognition in primates,https://news.mit.edu/2020/neural-pathway-crucial-successful-rapid-object-recognition-primates-1020
384,Eight Lincoln Laboratory technologies named 2020 R&D 100 Award winners,https://news.mit.edu/2020/lincoln-laboratory-technologies-rd-100-award-winners-1020
385,A global collaboration to move artificial intelligence principles to practice,https://news.mit.edu/2020/global-collaboration-moving-ai-principles-to-practice-1019
386,The real promise of synthetic data ,https://news.mit.edu/2020/real-promise-synthetic-data-1016
387,Machine learning uncovers potential new TB drugs,https://news.mit.edu/2020/gaussian-machine-learning-tb-drug-1015
388,MIT Proto Ventures program readies new startups for launch,https://news.mit.edu/2020/mit-proto-ventures-program-readies-new-startups-for-launch-1013
389,SMART researchers receive Intra-CREATE grant for personalized medicine and cell therapy,https://news.mit.edu/2020/smart-researchers-receive-intra-create-grant-personalized-medicine-cell-therapy-1001
390,Anticipating heart failure with machine learning,https://news.mit.edu/2020/anticipating-heart-failure-machine-learning-1001
391,Milo Phillips-Brown receives inaugural MAC3 Society and Ethics in Computing Research Award,https://news.mit.edu/2020/milo-phillips-brown-receives-mac3-society-ethics-computing-research-award-0930
392,Provably exact artificial intelligence for nuclear and particle physics,https://news.mit.edu/2020/provably-exact-artificial-intelligence-nuclear-particle-physics-0924
393,MIT undergraduates pursue research opportunities through the pandemic,https://news.mit.edu/2020/mit-undergraduates-pursue-research-opportunities-through-pandemic-0923
394,Regina Barzilay wins $1M Association for the Advancement of Artificial Intelligence Squirrel AI award,https://news.mit.edu/2020/regina-barzilay-wins-aaai-squirrel-ai-award-artificial-intelligence-0923
395,Six strategic areas identified for shared faculty hiring in computing,https://news.mit.edu/2020/strategic-areas-identified-shared-faculty-hiring-college-of-computing-0831
396,Toward a machine learning model that can reason about everyday actions ,https://news.mit.edu/2020/toward-machine-learning-that-can-reason-about-everyday-actions-0831
397,National Science Foundation announces MIT-led Institute for Artificial Intelligence and Fundamental Interactions,https://news.mit.edu/2020/nsf-announces-mit-led-institute-artificial-intelligence-fundamental-interactions-0826
398,Real-time data for a better response to disease outbreaks,https://news.mit.edu/2020/kinsa-health-0821
399,Rewriting the rules of machine-generated art,https://news.mit.edu/2020/rewriting-rules-machine-generated-art-0818
400,Data systems that learn to be better,https://news.mit.edu/2020/mit-data-systems-learn-be-better-tsunami-bao-0810
401,Shrinking deep learning’s carbon footprint,https://news.mit.edu/2020/shrinking-deep-learning-carbon-footprint-0807
402,Looking into the black box,https://news.mit.edu/2020/looking-black-box-deep-learning-neural-networks-0727
403,Commentary: America must invest in its ability to innovate,https://news.mit.edu/2020/america-innovate-endless-frontier-0724
404,Tackling the misinformation epidemic with “In Event of Moon Disaster”,https://news.mit.edu/2020/mit-tackles-misinformation-in-event-of-moon-disaster-0720
405,Faculty receive funding to develop artificial intelligence techniques to combat Covid-19,https://news.mit.edu/2020/faculty-receive-funding-develop-novel-ai-techniques-combat-covid-19-0717
406,Letting robots manipulate cables,https://news.mit.edu/2020/letting-robots-manipulate-cables-0713
407,Exploring interactions of light and matter,https://news.mit.edu/2020/juejun-hu-light-and-matter-0701
408,The MIT Press and UC Berkeley launch Rapid Reviews: COVID-19,https://news.mit.edu/2020/mit-press-and-uc-berkeley-launch-rapid-reviews-covid-19-0629
409,Improving global health equity by helping clinics do more with less,https://news.mit.edu/2020/macro-eyes-vaccine-chain-health-equity-0626
410,Identifying a melody by studying a musician’s body language,https://news.mit.edu/2020/music-gesture-artificial-intelligence-identifies-melody-by-musician-body-language-0625
411,Cynthia Breazeal named Media Lab associate director,https://news.mit.edu/2020/cynthia-breazeal-named-media-lab-associate-director-0619
412,Bringing the predictive power of artificial intelligence to health care,https://news.mit.edu/2020/closedloop-ai-predictive-health-care-0619
413,MIT and Toyota release innovative dataset to accelerate autonomous driving research,https://news.mit.edu/2020/mit-toyota-release-visual-open-data-accelerate-autonomous-driving-research-0618
414,MIT-Takeda program launches ,https://news.mit.edu/2020/mit-takeda-program-launches-research-ai-and-human-health-0618
415,What jumps out in a photo changes the longer we look ,https://news.mit.edu/2020/what-jumps-out-photo-changes-longer-we-look-0617
416,Learning the ropes and throwing lifelines,https://news.mit.edu/2020/student-geeticka-chauhan-0609
417,Engineers put tens of thousands of artificial brain synapses on a single chip,https://news.mit.edu/2020/thousands-artificial-brain-synapses-single-chip-0608
418,Giving soft robots feeling,https://news.mit.edu/2020/giving-soft-robots-senses-0601
419,Undergraduates develop next-generation intelligence tools,https://news.mit.edu/2020/undergraduates-develop-next-generation-intelligence-tools-0526
420,Fireflies helps companies get more out of meetings,https://news.mit.edu/2020/fireflies-meetings-0521
421,Machine-learning tool could help develop tougher materials,https://news.mit.edu/2020/machine-learning-develop-materials-0520
422,Marshaling artificial intelligence in the fight against Covid-19,https://news.mit.edu/2020/mit-marshaling-artificial-intelligence-fight-against-covid-19-0519
423, Visualizing the world beyond the frame,https://news.mit.edu/2020/visualizing-the-world-beyond-the-frame-0506
424,Study finds stronger links between automation and inequality,https://news.mit.edu/2020/study-inks-automation-inequality-0506
425,"Robots help some firms, even while workers across industries struggle",https://news.mit.edu/2020/robots-help-firms-workers-struggle-0505
426,How many jobs do robots really replace?,https://news.mit.edu/2020/how-many-jobs-robots-replace-0504
427,A foolproof way to shrink deep learning models,https://news.mit.edu/2020/foolproof-way-shrink-deep-learning-models-0430
428,Automating the search for entirely new “curiosity” algorithms ,https://news.mit.edu/2020/automating-search-entirely-new-curiosity-algorithms-0428
429,MIT conference reveals the power of using artificial intelligence to discover new drugs,https://news.mit.edu/2020/mit-conference-reveals-power-using-artificial-intelligence-discover-new-drugs-0427
430,Muscle signals can pilot a robot,https://news.mit.edu/2020/conduct-a-bot-muscle-signals-can-pilot-robot-mit-csail-0427
431,Shedding light on complex power systems,https://news.mit.edu/2020/marija-ilic-shedding-light-complex-power-systems-0423
432,Reducing the carbon footprint of artificial intelligence,https://news.mit.edu/2020/artificial-intelligence-ai-carbon-footprint-0423
433,"With lidar and artificial intelligence, road status clears up after a disaster",https://news.mit.edu/2020/lidar-and-ai-road-status-clears-after-disaster-0415
434,Professor Daniela Rus named to White House science council,https://news.mit.edu/2020/mit-professor-daniela-rus-white-house-science-council-0421
435,Deploying more conversational chatbots,https://news.mit.edu/2020/posh-chatbots-0417
436,Reducing delays in wireless networks,https://news.mit.edu/2020/reducing-delays-wireless-networks-csail-0410
437,Learning about artificial intelligence: A hub of MIT resources for K-12 students,https://news.mit.edu/2020/learning-about-artificial-intelligence-hub-of-mit-resources-k-12-students-0407
438,Computational thinking class enables students to engage in Covid-19 response,https://news.mit.edu/2020/computational-thinking-class-enables-students-engage-covid-19-response-0407
439,Q&A: Markus Buehler on setting coronavirus and AI-inspired proteins to music,https://news.mit.edu/2020/qa-markus-buehler-setting-coronavirus-and-ai-inspired-proteins-to-music-0402
440,Neural networks facilitate optimization in the search for new materials,https://news.mit.edu/2020/neural-networks-optimize-materials-search-0326
441,“Inactive” pill ingredients could raise the dose of your medication,https://news.mit.edu/2020/inactive-pill-ingredients-could-raise-dose-your-medication-0317
442,Deep learning for mechanical property evaluation,https://news.mit.edu/2020/deep-learning-mechanical-property-metallic-0316
443,The elephant in the server room,https://news.mit.edu/2020/data-feminism-catherine-dignazio-0309
444,“Doing machine learning the right way”,https://news.mit.edu/2020/aleksander-madry-machine-learning-0308
445,Showing robots how to do your chores,https://news.mit.edu/2020/showing-robots-learn-chores-0306
446,A new model of vision,https://news.mit.edu/2020/computer-model-brain-vision-0304
447,Demystifying the world of deep networks,https://news.mit.edu/2020/demystifying-world-deep-networks-0228
448,Machine learning picks out hidden vibrations from earthquake data,https://news.mit.edu/2020/machine-learning-picks-out-hidden-vibrations-earthquake-data-0228
449,"To self-drive in the snow, look under the road",https://news.mit.edu/2020/to-self-drive-in-snow-look-under-road-0226
450,MIT Solve announces 2020 global challenges,https://news.mit.edu/2020/mit-solve-announces-2020-global-challenges-0225
451,Bringing deep learning to life ,https://news.mit.edu/2020/bringing-deep-learning-to-life-0224
452,A human-machine collaboration to defend against cyberattacks,https://news.mit.edu/2020/patternex-machine-learning-cybersecurity-0221
453,A road map for artificial intelligence policy,https://news.mit.edu/2020/starr-videgaray-artificial-intelligence-policy-0220
454,Artificial intelligence yields new antibiotic,https://news.mit.edu/2020/artificial-intelligence-identifies-new-antibiotic-0220
455,Benjamin Chang: Might technology tip the global scales?,https://news.mit.edu/2020/benjamin-chang-might-technology-tip-scales-0219
456,"SENSE.nano awards seed grants in optoelectronics, interactive manufacturing",https://news.mit.edu/2020/sensenano-awards-seed-grants-optoelectronics-interactive-manufacturing-0213
457,Maintaining the equipment that powers our world,https://news.mit.edu/2020/tagup-equipment-maintenance-0212
458,Bridging the gap between human and machine vision,https://news.mit.edu/2020/bridging-gap-between-human-and-machine-vision-0211
459,"Brainstorming energy-saving hacks on Satori, MIT’s new supercomputer",https://news.mit.edu/2020/brainstorming-energy-saving-hacks-satori-mit-supercomputer-0211
460,Hey Alexa! Sorry I fooled you ...,https://news.mit.edu/2020/hey-alexa-sorry-i-fooled-you-0207
461,Researchers develop a roadmap for growth of new solar cells,https://news.mit.edu/2020/roadmap-scaling-perovskites-solar-0206
462, A college for the computing age,https://news.mit.edu/2020/college-for-the-computing-age-0204
463,Demystifying artificial intelligence,https://news.mit.edu/2020/demystifying-artificial-intelligence-natalie-lao-mit-0129
464,Gift will allow MIT researchers to use artificial intelligence in a biomedical device ,https://news.mit.edu/2020/gift-to-mit-cee-artificial-intelligence-biomedical-device-0129
465,Technique reveals whether models of patient risk are accurate,https://news.mit.edu/2020/clinical-risk-models-acccurate-0123
466,Using artificial intelligence to enrich digital maps,https://news.mit.edu/2020/artificial-intelligence-digital-maps-0123
467,How to verify that quantum chips are computing correctly,https://news.mit.edu/2020/verify-quantum-chips-computing-0113
468,Bringing artificial intelligence and MIT to middle school classrooms,https://news.mit.edu/2019/bringing-artificial-intelligence-and-mit-middle-school-classrooms-1230
469,Finding a good read among billions of choices,https://news.mit.edu/2019/finding-good-read-among-billions-of-choices-1220
470,When machine learning packs an economic punch,https://news.mit.edu/2019/machine-learning-sales-ebay-translation-1220
471,Exploring hip hop history with art and technology,https://news.mit.edu/2019/exploring-hip-hop-history-art-and-technology-museum-1220
472,Differences between deep neural networks and human perception,https://news.mit.edu/2019/differences-between-deep-neural-networks-and-human-perception-1212
473,Intelligent Towing Tank propels human-robot-computer research,https://news.mit.edu/2019/intelligent-towing-tank-propels-research-1209
474,Restructuring the MIT Department of Electrical Engineering and Computer Science,https://news.mit.edu/2019/restructuring-mit-department-electrical-engineering-computer-science-1205
475,Helping machines perceive some laws of physics ,https://news.mit.edu/2019/adept-ai-machines-laws-physics-1202
476,3 Questions: Dan Huttenlocher on the formation of the MIT Schwarzman College of Computing,https://news.mit.edu/2019/3q-dan-huttenlocher-formation-mit-schwarzman-college-computing-1126
477,MIT art installation aims to empower a more discerning public,https://news.mit.edu/2019/mit-apollo-deepfake-art-installation-aims-to-empower-more-discerning-public-1125
478,MIT conference focuses on preparing workers for the era of artificial intelligence,https://news.mit.edu/2019/ai-work-future-congress-1122
479,Bot can beat humans in multiplayer hidden-role games,https://news.mit.edu/2019/deeprole-ai-beat-humans-role-games-1120
480,Students push to speed up artificial intelligence adoption in Latin America ,https://news.mit.edu/2019/students-push-to-speed-up-ai-adoption-latin-america-1119
481,Predicting people's driving personalities,https://news.mit.edu/2019/predicting-driving-personalities-1118
482,Visualizing an AI model’s blind spots,https://news.mit.edu/2019/visualizing-ai-models-blind-spots-1108
483,Driving toward a healthier planet,https://news.mit.edu/2019/driving-toward-healthier-planet-brian-storey-mit-materials-day-1107
484,Materials Day talks examine the promises and challenges of AI and machine learning,https://news.mit.edu/2019/materials-day-talks-examine-promises-challenges-ai-machine-learning-1105
485,3 Questions: When the student becomes the teacher,https://news.mit.edu/2019/when-student-becomes-teacher-brandon-leshchinskiy-earthdna-ambassadors-1105
486,Autonomous system improves environmental sampling at sea,https://news.mit.edu/2019/autonomous-system-sea-sampling-1104
487,Better autonomous “reasoning” at tricky intersections,https://news.mit.edu/2019/risk-model-autonomous-vehicles-1104
488,What makes an image memorable? Ask a computer,https://news.mit.edu/2019/what-makes-an-image-memorable-ask-computer-1101
